titre,entreprise,contrat,localisation,lien,date_scraping,source,mot_cle_recherche,description
Data Analyst - Stage de fin d'études,Goodvest,Stage,Paris,https://www.welcometothejungle.com/fr/companies/goodvest/jobs/data-analyst-stage-de-fin-d-etudes_paris,2026-03-23,WTTJ,data,
Data gouvernance & analyste BI en alternance - H/F,Servier,Alternance,Suresnes,https://www.welcometothejungle.com/fr/companies/servier/jobs/data-gouvernance-analyste-bi-en-alternance-h-f_suresnes,2026-03-23,WTTJ,data,
Alternance - Digital Transformation & Data Governance - Industry (H/F),Servier,Alternance,Suresnes,https://www.welcometothejungle.com/fr/companies/servier/jobs/alternance-digital-transformation-data-governance-industry-h-f_suresnes,2026-03-23,WTTJ,data,
Business Analyst - Pôle Data - Equipe Master Data Stage - Juillet 2026 I Paris (H/F),Ardian,Stage,Puteaux,https://www.welcometothejungle.com/fr/companies/ardian/jobs/it-pole-data-equipe-master-data-stage-juillet-2026-i-paris-h-f_puteaux,2026-03-23,WTTJ,data,
STAGE - Ingénieur(e) Data & Amélioration continue,Blissim,Stage,Paris,https://www.welcometothejungle.com/fr/companies/blissim/jobs/stage-ingenieur-data-amelioration-continue_paris,2026-03-23,WTTJ,data,
Stage Data & Advanced Analytics (AN / FR) - Paris,Alvarez Marsal France,Stage,Paris,https://www.welcometothejungle.com/fr/companies/alvarez-marsal-france/jobs/stage-data-advanced-analytics-an-fr-paris_paris,2026-03-23,WTTJ,data,
Stage – Data Scientist,Quinten,Stage,Paris,https://www.welcometothejungle.com/fr/companies/quinten/jobs/stage-data-scientist_paris_QH_DeOA4QX,2026-03-23,WTTJ,data,
Data & IA - stage - Teacher Assistant,Data Bird,Stage,Paris,https://www.welcometothejungle.com/fr/companies/data-bird/jobs/data-analyst-stage_paris,2026-03-23,WTTJ,data,
ALTERNANCE - Assistant(e) Data Management & Data Steward,La Banque Postale,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/la-banque-postale/jobs/alternance-assistant-data-management-data-steward_paris,2026-03-23,WTTJ,data,
ALTERNANCE - Assistant(e) Data Scientist,La Banque Postale,Alternance,Paris,https://www.welcometothejungle.com/fr/companies/la-banque-postale/jobs/alternance-assistant-data-scientist_paris,2026-03-23,WTTJ,data,
